"STATION","NAME","DATE","TAVG","TMAX","TMIN","TOBS"
"USC00280907","BOONTON 1 SE, NJ US","2021-01-01",,"5.6","-4.4","-4.4"
"USC00280907","BOONTON 1 SE, NJ US","2021-01-02",,"2.8","-4.4","2.8"
"USC00280907","BOONTON 1 SE, NJ US","2021-01-03",,"8.9","-2.2","-0.6"
"USC00280907","BOONTON 1 SE, NJ US","2021-01-04",,"1.1","-0.6","1.1"
"USC00280907","BOONTON 1 SE, NJ US","2021-01-05",,"5.6","1.1","1.7"
"USC00280907","BOONTON 1 SE, NJ US","2021-01-06",,"3.3","-1.1","1.7"
"USC00280907","BOONTON 1 SE, NJ US","2021-01-07",,"3.9","-1.1","-1.1"
"USC00280907","BOONTON 1 SE, NJ US","2021-01-08",,"3.3","-4.4","-4.4"
"USC00280907","BOONTON 1 SE, NJ US","2021-01-09",,"3.9","-6.1","-5.6"
"USC00280907","BOONTON 1 SE, NJ US","2021-01-10",,"2.8","-6.1","-2.8"
"USC00280907","BOONTON 1 SE, NJ US","2021-01-11",,"4.4","-6.1","-5.0"
"USC00280907","BOONTON 1 SE, NJ US","2021-01-12",,"2.2","-6.7","-4.4"
"USC00280907","BOONTON 1 SE, NJ US","2021-01-13",,"5.6","-5.0","-0.6"
"USC00280907","BOONTON 1 SE, NJ US","2021-01-14",,"4.4","-1.7","0.0"
"USC00280907","BOONTON 1 SE, NJ US","2021-01-15",,"7.8","-2.8","-2.2"
"USC00280907","BOONTON 1 SE, NJ US","2021-01-16",,"5.0","-2.2","4.4"
"USC00280907","BOONTON 1 SE, NJ US","2021-01-17",,"6.1","1.1","1.7"
"USC00280907","BOONTON 1 SE, NJ US","2021-01-18",,"5.6","-2.2","-1.7"
"USC00280907","BOONTON 1 SE, NJ US","2021-01-19",,"6.1","-1.7","0.6"
"USC00280907","BOONTON 1 SE, NJ US","2021-01-20",,"4.4","-3.9","0.6"
"USC00280907","BOONTON 1 SE, NJ US","2021-01-21",,"3.3","-8.3","-8.3"
"USC00280907","BOONTON 1 SE, NJ US","2021-01-22",,"4.4","-8.3","-2.2"
"USC00280907","BOONTON 1 SE, NJ US","2021-01-23",,"5.0","-3.3","-3.3"
"USC00280907","BOONTON 1 SE, NJ US","2021-01-24",,"-1.7","-6.7","-6.7"
"USC00280907","BOONTON 1 SE, NJ US","2021-01-25",,"-1.1","-7.2","-6.1"
"USC00280907","BOONTON 1 SE, NJ US","2021-01-26",,"2.8","-7.2","-1.1"
"USC00280907","BOONTON 1 SE, NJ US","2021-01-27",,"0.6","-2.8","0.0"
"USC00280907","BOONTON 1 SE, NJ US","2021-01-28",,"1.1","-3.9","-3.3"
"USC00280907","BOONTON 1 SE, NJ US","2021-01-29",,"-1.7","-10.0","-10.0"
"USC00280907","BOONTON 1 SE, NJ US","2021-01-30",,"-5.0","-10.6","-9.4"
"USC00280907","BOONTON 1 SE, NJ US","2021-01-31",,"-0.6","-9.4","-8.3"
"USC00280907","BOONTON 1 SE, NJ US","2021-02-02",,"-1.1","-8.3","-2.2"
"USC00280907","BOONTON 1 SE, NJ US","2021-02-03",,"0.6","-8.3","-2.2"
"USC00280907","BOONTON 1 SE, NJ US","2021-02-04",,"1.7","-2.2","-1.1"
"USC00280907","BOONTON 1 SE, NJ US","2021-02-05",,"5.6","-2.8","-0.6"
"USC00280907","BOONTON 1 SE, NJ US","2021-02-06",,"6.1","-6.7","-6.7"
"USC00280907","BOONTON 1 SE, NJ US","2021-02-07",,"5.0","-7.2","-1.1"
"USC00280907","BOONTON 1 SE, NJ US","2021-02-08",,"0.6","-11.7","-11.7"
"USC00280907","BOONTON 1 SE, NJ US","2021-02-09",,"-2.2","-12.8","-12.8"
"USC00280907","BOONTON 1 SE, NJ US","2021-02-10",,"-0.6","-12.8","-9.4"
"USC00280907","BOONTON 1 SE, NJ US","2021-02-11",,"0.6","-9.4","-6.1"
"USC00280907","BOONTON 1 SE, NJ US","2021-02-12",,"-0.6","-9.4","-8.9"
"USC00280907","BOONTON 1 SE, NJ US","2021-02-13",,"-1.7","-10.6","-7.2"
"USC00280907","BOONTON 1 SE, NJ US","2021-02-14",,"-3.9","-7.2","-4.4"
"USC00280907","BOONTON 1 SE, NJ US","2021-02-15",,"2.2","-4.4","-1.7"
"USC00280907","BOONTON 1 SE, NJ US","2021-02-16",,"2.2","-1.7","1.7"
"USC00280907","BOONTON 1 SE, NJ US","2021-02-17",,"8.9","-6.1","-6.1"
"USC00280907","BOONTON 1 SE, NJ US","2021-02-18",,"-1.1","-7.2","-4.4"
"USC00280907","BOONTON 1 SE, NJ US","2021-02-19",,"-3.3","-5.6","-3.3"
"USC00280907","BOONTON 1 SE, NJ US","2021-02-20",,"0.0","-5.6","-5.6"
"USC00280907","BOONTON 1 SE, NJ US","2021-02-21",,"0.0","-11.1","-10.6"
"USC00280907","BOONTON 1 SE, NJ US","2021-02-22",,"1.7","-10.6","-3.3"
"USC00280907","BOONTON 1 SE, NJ US","2021-02-23",,"1.7","-4.4","-1.1"
"USC00280907","BOONTON 1 SE, NJ US","2021-02-24",,"6.1","-3.3","-2.8"
"USC00280907","BOONTON 1 SE, NJ US","2021-02-25",,"10.6","-2.8","3.3"
"USC00280907","BOONTON 1 SE, NJ US","2021-02-26",,"7.2","-2.2","-2.2"
"USC00280907","BOONTON 1 SE, NJ US","2021-02-27",,"6.1","-2.8","1.1"
"USC00280907","BOONTON 1 SE, NJ US","2021-02-28",,"8.3","0.6","1.1"
"USC00280907","BOONTON 1 SE, NJ US","2021-03-01",,"5.6","1.1","3.3"
"USC00280907","BOONTON 1 SE, NJ US","2021-03-02",,"7.8","-7.2","-7.2"
"USC00280907","BOONTON 1 SE, NJ US","2021-03-03",,"-0.6","-7.2","-5.0"
"USC00280907","BOONTON 1 SE, NJ US","2021-03-04",,"8.9","-5.0","2.2"
"USC00280907","BOONTON 1 SE, NJ US","2021-03-05",,"5.0","-6.7","-6.7"
"USC00280907","BOONTON 1 SE, NJ US","2021-03-06",,"1.7","-6.7","-1.1"
"USC00280907","BOONTON 1 SE, NJ US","2021-03-07",,"0.6","-3.9","-2.8"
"USC00280907","BOONTON 1 SE, NJ US","2021-03-08",,"3.9","-5.0","-5.0"
"USC00280907","BOONTON 1 SE, NJ US","2021-03-09",,"5.6","-5.0","0.6"
"USC00280907","BOONTON 1 SE, NJ US","2021-03-10",,"15.0","-1.7","-1.7"
"USC00280907","BOONTON 1 SE, NJ US","2021-03-11",,"12.8","-1.7","5.6"
"USC00280907","BOONTON 1 SE, NJ US","2021-03-12",,"20.6","5.6","12.8"
"USC00280907","BOONTON 1 SE, NJ US","2021-03-13",,"17.8","-1.1","-1.1"
"USC00280907","BOONTON 1 SE, NJ US","2021-03-14",,"7.8","-1.1","2.2"
"USC00280907","BOONTON 1 SE, NJ US","2021-03-15",,"10.6","-5.0","-5.0"
"USC00280907","BOONTON 1 SE, NJ US","2021-03-16",,"2.8","-6.1","-3.3"
"USC00280907","BOONTON 1 SE, NJ US","2021-03-17",,"1.7","-3.3","0.0"
"USC00280907","BOONTON 1 SE, NJ US","2021-03-18",,"7.2","0.0","5.0"
"USC00280907","BOONTON 1 SE, NJ US","2021-03-19",,"7.2","0.6","0.6"
"USC00280907","BOONTON 1 SE, NJ US","2021-03-20",,"6.7","-2.8","-2.8"
"USC00280907","BOONTON 1 SE, NJ US","2021-03-21",,"13.9","-2.8","-1.7"
"USC00280907","BOONTON 1 SE, NJ US","2021-03-22",,"17.2","-2.2","-1.1"
"USC00280907","BOONTON 1 SE, NJ US","2021-03-23",,"16.7","-1.7","-0.6"
"USC00280907","BOONTON 1 SE, NJ US","2021-03-24",,"18.9","-0.6","7.2"
"USC00280907","BOONTON 1 SE, NJ US","2021-03-25",,"12.2","7.2","10.0"
"USC00280907","BOONTON 1 SE, NJ US","2021-03-26",,"18.3","10.0","12.8"
"USC00280907","BOONTON 1 SE, NJ US","2021-03-27",,"24.4","8.9","9.4"
"USC00280907","BOONTON 1 SE, NJ US","2021-03-28",,"18.9","7.2","9.4"
"USC00280907","BOONTON 1 SE, NJ US","2021-03-29",,"15.6","5.0","6.1"
"USC00280907","BOONTON 1 SE, NJ US","2021-03-30",,"11.7","-1.1","-1.1"
"USC00280907","BOONTON 1 SE, NJ US","2021-03-31",,"17.2","-1.1","5.0"
"USC00280907","BOONTON 1 SE, NJ US","2021-04-01",,"15.6","5.0","5.0"
"USC00280907","BOONTON 1 SE, NJ US","2021-04-02",,"8.9","-3.9","-3.9"
"USC00280907","BOONTON 1 SE, NJ US","2021-04-03",,"3.3","-3.9","-1.7"
"USC00280907","BOONTON 1 SE, NJ US","2021-04-04",,"11.1","-1.7","-0.6"
"USC00280907","BOONTON 1 SE, NJ US","2021-04-05",,"17.2","-0.6","3.9"
"USC00280907","BOONTON 1 SE, NJ US","2021-04-06",,"18.9","3.3","4.4"
"USC00280907","BOONTON 1 SE, NJ US","2021-04-07",,"19.4","4.4","6.1"
"USC00280907","BOONTON 1 SE, NJ US","2021-04-08",,"22.2","4.4","4.4"
"USC00280907","BOONTON 1 SE, NJ US","2021-04-09",,"21.1","4.4","7.2"
"USC00280907","BOONTON 1 SE, NJ US","2021-04-10",,"16.1","7.2","9.4"
"USC00280907","BOONTON 1 SE, NJ US","2021-04-11",,"19.4","9.4","11.1"
"USC00280907","BOONTON 1 SE, NJ US","2021-04-12",,"14.4","6.7","6.7"
"USC00280907","BOONTON 1 SE, NJ US","2021-04-13",,"8.3","3.9","8.3"
"USC00280907","BOONTON 1 SE, NJ US","2021-04-14",,"17.8","5.0","5.0"
"USC00280907","BOONTON 1 SE, NJ US","2021-04-15",,"20.6","5.0","11.1"
"USC00280907","BOONTON 1 SE, NJ US","2021-04-16",,"13.9","3.3","3.9"
"USC00280907","BOONTON 1 SE, NJ US","2021-04-17",,"11.1","3.9","6.7"
"USC00280907","BOONTON 1 SE, NJ US","2021-04-18",,"11.7","6.7","8.9"
"USC00280907","BOONTON 1 SE, NJ US","2021-04-19",,"16.1","6.1","7.8"
"USC00280907","BOONTON 1 SE, NJ US","2021-04-20",,"17.2","4.4","5.0"
"USC00280907","BOONTON 1 SE, NJ US","2021-04-21",,"21.7","5.0","8.9"
"USC00280907","BOONTON 1 SE, NJ US","2021-04-22",,"21.7","1.1","2.2"
"USC00280907","BOONTON 1 SE, NJ US","2021-04-23",,"8.3","2.2","5.0"
"USC00280907","BOONTON 1 SE, NJ US","2021-04-24",,"16.1","5.0","7.2"
"USC00280907","BOONTON 1 SE, NJ US","2021-04-25",,"19.4","7.2","8.9"
"USC00280907","BOONTON 1 SE, NJ US","2021-04-26",,"16.7","3.9","4.4"
"USC00280907","BOONTON 1 SE, NJ US","2021-04-27",,"14.4","4.4","5.0"
"USC00280907","BOONTON 1 SE, NJ US","2021-04-28",,"19.4","5.0","7.8"
"USC00280907","BOONTON 1 SE, NJ US","2021-04-29",,"28.9","7.8","16.1"
"USC00280907","BOONTON 1 SE, NJ US","2021-04-30",,"23.3","15.0","15.0"
"USC00280907","BOONTON 1 SE, NJ US","2021-05-01",,"18.3","4.4","5.0"
"USC00280907","BOONTON 1 SE, NJ US","2021-05-02",,"17.2","5.0","12.2"
"USC00280907","BOONTON 1 SE, NJ US","2021-05-03",,"26.7","11.7","11.7"
"USC00280907","BOONTON 1 SE, NJ US","2021-05-04",,"18.9","11.7","13.3"
