"STATION","DATE","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES"
"USW00025333","2018-07-01",,,,,,,,,,,,,,
"USW00025333","2018-07-02",,,,,,,,,,,,,,
"USW00025333","2018-07-03",,,,,,,,,,,,,,
"USW00025333","2018-07-04",,,,,,,,,,,,,,
"USW00025333","2018-07-05",,,,,,,,,,,,,,
"USW00025333","2018-07-06",,,,,,,,,,,,,,
"USW00025333","2018-07-07",,,,,,,,,,,,,,
"USW00025333","2018-07-08",,,,,,,,,,,,,,
"USW00025333","2018-07-09",,,,,,,,,,,,,,
"USW00025333","2018-07-10",,,,,,,,,,,,,,
"USW00025333","2018-07-11",,,,,,,,,,,,,,
"USW00025333","2018-07-12",,,,,,,,,,,,,,
"USW00025333","2018-07-13",,,,,,,,,,,,,,
"USW00025333","2018-07-14",,,,,,,,,,,,,,
"USW00025333","2018-07-15",,,,,,,,,,,,,,
"USW00025333","2018-07-16",,,,,,,,,,,,,,
"USW00025333","2018-07-17",,,,,,,,,,,,,,
"USW00025333","2018-07-18",,,,,,,,,,,,,,
"USW00025333","2018-07-19",,,,,,,,,,,,,,
"USW00025333","2018-07-20",,,,,,,,,,,,,,
"USW00025333","2018-07-21",,,,,,,,,,,,,,
"USW00025333","2018-07-22",,,,,,,,,,,,,,
"USW00025333","2018-07-23",,,,,,,,,,,,,,
"USW00025333","2018-07-24",,,,,,,,,,,,,,
"USW00025333","2018-07-25",,,,,,,,,,,,,,
"USW00025333","2018-07-26",,,,,,,,,,,,,,
"USW00025333","2018-07-27",,,,,,,,,,,,,,
"USW00025333","2018-07-28",,,,,,,,,,,,,,
"USW00025333","2018-07-29",,,,,,,,,,,,,,
"USW00025333","2018-07-30",,,,,,,,,,,,,,
"USW00025333","2018-07-31",,,,,,,,,,,,,,
"USW00025333","2018-08-01",,,,,,,,,,,,,,
"USW00025333","2018-08-02",,,,,,,,,,,,,,
"USW00025333","2018-08-03",,,,,,,,,,,,,,
"USW00025333","2018-08-04",,,,,,,,,,,,,,
"USW00025333","2018-08-05",,,,,,,,,,,,,,
"USW00025333","2018-08-06",,,,,,,,,,,,,,
"USW00025333","2018-08-07",,,,,,,,,,,,,,
"USW00025333","2018-08-08",,,,,,,,,,,,,,
"USW00025333","2018-08-09",,,,,,,,,,,,,,
"USW00025333","2018-08-10",,,,,,,,,,,,,,
"USW00025333","2018-08-11",,,,,,,,,,,,,,
"USW00025333","2018-08-12",,,,,,,,,,,,,,
"USW00025333","2018-08-13",,,,,,,,,,,,,,
"USW00025333","2018-08-14",,,,,,,,,,,,,,
"USW00025333","2018-08-15",,,,,,,,,,,,,,
"USW00025333","2018-08-16",,,,,,,,,,,,,,
"USW00025333","2018-08-17",,,,,,,,,,,,,,
"USW00025333","2018-08-18",,,,,,,,,,,,,,
"USW00025333","2018-08-19",,,,,,,,,,,,,,
"USW00025333","2018-08-20",,,,,,,,,,,,,,
"USW00025333","2018-08-21",,,,,,,,,,,,,,
"USW00025333","2018-08-22",,,,,,,,,,,,,,
"USW00025333","2018-08-23",,,,,,,,,,,,,,
"USW00025333","2018-08-24",,,,,,,,,,,,,,
"USW00025333","2018-08-25","    1",",,W",,,,,,,,,,,,
"USW00025333","2018-08-26",,,,,,,,,,,,,,
"USW00025333","2018-08-27",,,,,,,,,,,,,,
"USW00025333","2018-08-28",,,,,,,,,,,,,,
"USW00025333","2018-08-29",,,,,,,,,,,,,,
"USW00025333","2018-08-30",,,,,,,,,,,,,,
"USW00025333","2018-08-31",,,,,,,,,,,,,,
"USW00025333","2018-09-01",,,,,,,,,,,,,,
"USW00025333","2018-09-02",,,,,,,,,,,,,,
"USW00025333","2018-09-03",,,,,,,,,,,,,,
"USW00025333","2018-09-04",,,,,,,,,,,,,,
"USW00025333","2018-09-05",,,,,,,,,,,,,,
"USW00025333","2018-09-06",,,,,,,,,,,,,,
"USW00025333","2018-09-07",,,,,,,,,,,,,,
"USW00025333","2018-09-08",,,,,,,,,,,,,,
"USW00025333","2018-09-09",,,,,,,,,,,,,,
"USW00025333","2018-09-10",,,,,,,,,,,,,,
"USW00025333","2018-09-11",,,,,,,,,,,,,,
"USW00025333","2018-09-12",,,,,,,,,,,,,,
"USW00025333","2018-09-13",,,,,,,,,,,,,,
"USW00025333","2018-09-14",,,,,,,,,,,,,,
"USW00025333","2018-09-15",,,,,,,,,,,,,,
"USW00025333","2018-09-16",,,,,,,,,,,,,,
"USW00025333","2018-09-17",,,,,,,,,,,,,,
"USW00025333","2018-09-18",,,,,,,,,,,,,,
"USW00025333","2018-09-19",,,,,,,,,,,,,,
"USW00025333","2018-09-20",,,,,,,,,,,,,,
"USW00025333","2018-09-21",,,,,,,,,,,,,,
"USW00025333","2018-09-22",,,,,,,,,,,,,,
"USW00025333","2018-09-23",,,,,,,,,,,,,,
"USW00025333","2018-09-24",,,,,,,,,,,,,,
"USW00025333","2018-09-25",,,,,,,,,,,,,,
"USW00025333","2018-09-26",,,,,,,,,,,,,,
"USW00025333","2018-09-27",,,,,,,,,,,,,,
"USW00025333","2018-09-28",,,,,,,,,,,,,,
"USW00025333","2018-09-29",,,,,,,,,,,,,,
"USW00025333","2018-09-30",,,,,,,,,,,,,,
"USW00025333","2018-10-01",,,,,,,,,,,,,,
"USW00025333","2018-10-02",,,,,,,,,,,,,,
"USW00025333","2018-10-03",,,,,,,,,,,,,,
"USW00025333","2018-10-04",,,,,,,,,,,,,,
"USW00025333","2018-10-05",,,,,,,,,,,,,,
"USW00025333","2018-10-06",,,,,,,,,,,,,,
"USW00025333","2018-10-07",,,,,,,,,,,,,,
"USW00025333","2018-10-08",,,,,,,,,,,,,,
"USW00025333","2018-10-09",,,,,,,,,,,,,,
"USW00025333","2018-10-10",,,,,,,,,,,,,,
"USW00025333","2018-10-11",,,,,,,,,,,,,,
"USW00025333","2018-10-12",,,,,,,,,,,,,,
"USW00025333","2018-10-13",,,,,,,,,,,,,,
"USW00025333","2018-10-14",,,,,,,,,,,,,,
"USW00025333","2018-10-15",,,,,,,,,,,,,,
"USW00025333","2018-10-16",,,,,,,,,,,,,,
"USW00025333","2018-10-17",,,,,,,,,,,,,,
"USW00025333","2018-10-18",,,,,,,,,,,,,,
"USW00025333","2018-10-19",,,,,,,,,,,,,,
